userName,at,content
Waar Ganz,2024-09-30 06:27:45,"apk nya sering forces close,mohon di perbaiki min"
edimuchtar afandi,2024-09-30 06:23:25,Jelek
Fitri Anindya,2024-09-30 06:22:07,Bagus😎👍
Mutiya Sari,2024-09-30 06:21:15,knp gak bisa live
- via,2024-09-30 06:19:14,Tolong dong jangan suka nambahin fitur yang ga berguna🙏🏻 salah satu nya delete archive. Saya bukan tipe orang yang suka taro video di feeds. Saya lebih suka di story dan saya bikin highlight. Niat hati pengen di jadiin kenangan.. eh malah mau di apus🫠 padahal saya suka banget sama aplikasi instagram ( tanpa fitur fitur yang ngacoo )
Mila Ajja,2024-09-30 06:17:07,Terima kasih telah menciptakan aplikasi yg berguna 😚😚😚😗😙🤣🤣🤣
enjang kusmana,2024-09-30 06:16:34,Bagiku sudah perfect nih... Oke banget
Aris Setiawan,2024-09-30 06:12:02,Sangat membantu
Dian Wulandari,2024-09-30 06:11:09,"Tolong dong, kok gak ada fitur saluran siaran sama aku?? Plis Ig lo kenapa?? Gue malas nyepam story di Ig woii!!😭😭 edit: Alhamdulillah, udah dapet 😋😋"
Adril Afridal,2024-09-30 06:04:43,Sangant membantu bisnis saya
parlin lumbanraja,2024-09-30 06:02:45,Bgus buat informasi dan hiburan..
Gerygils,2024-09-30 06:02:36,Pengalaman yg luar biasa
Mohamad Ganteng00,2024-09-30 06:00:11,nice bngt aplikasinya
Haidar Azmi,2024-09-30 05:59:59,Opsional
YUD So You,2024-09-30 05:59:52,Keyen
Choirul Anwar,2024-09-30 05:56:44,Aplikasi yang menarik ni bintang 5
Alam Sutera,2024-09-30 05:55:44,Bik
Yakobus Suni,2024-09-30 05:53:43,Berpetualangan
Jimmy Kusuma,2024-09-30 05:50:54,Cukup baik
Surya Kencana,2024-09-30 05:50:47,Instagram error kah? Apa sedang ada perbaikan sistem? Saya mau buat story menggunakan foto knpa tiba-tiba tidak bisa?! Tolong development segera perbaiki.
suharno lahat,2024-09-30 05:42:00,Luar biasa
Septiana Jessica,2024-09-30 05:37:32,"Kenapa akun saya selalu di tangguhkan entah alsan ap pun ga jls saya ga ada buat apa"" tiba di tangguh kan"
Wahyu saipudin,2024-09-30 05:37:20,Good
Triple Semar,2024-09-30 05:36:10,👍👍👍👍👍
Pook Paak,2024-09-30 05:32:44,Mantap
Bambang Prakoso,2024-09-30 05:30:50,Good
Irwan Kallek,2024-09-30 05:26:09,TT h Yyy TT yhyyu ni tmi ji ooo
Gunawan Hombing,2024-09-30 05:25:33,Bagus sii apk nyaa
Basir In,2024-09-30 05:24:16,Sangat baik
Chiko Boy,2024-09-30 05:19:09,Km nanyak
Kirani Asyila savina,2024-09-30 05:16:49,pliss jangan hilangkan arsipann yaa
Rianoy Anoy,2024-09-30 05:16:03,Very good
Fajar,2024-09-30 05:13:52,"Kualitas menurun terlalu Banyak iklan, tidak seperti dulu"
Yudha Wahyudin,2024-09-30 05:11:22,padahal sandi yang udah di masukin bener tapi tetap salah
Satrio Pandutomo,2024-09-30 05:09:37,"Sudah sangat bagus akan tetapi terkadang aplikasi suka eror tidak bisa dibuka sekalinya terbuka kadang keluar dari aplikasi dengan sendirinya, perlu ada peningkatan dari aplikasi instagram ini. Selain itu, kadang suka hapus komentar seenaknya saja padahal tdk menyalahi aturan baik pornografi, caci maki/hinaan, dll hanya karena kebanyakan tag teman buat mengikuti suatu akun kan aneh banget ini."
dwi mitasari,2024-09-30 05:03:00,baik sekali
Fauzan Akbar,2024-09-30 05:01:53,"Makin lama makin jdi ni bug, kgk ad perbaikan ap percuma update"
Ahmad Bandoeng,2024-09-30 04:56:23,Selama ini godaplikasi
Perkatin Olahraga katapel,2024-09-30 04:53:59,Semakin keren
joejoe 23,2024-09-30 04:51:12,Kenapa tidak banyak pilihan lagu untuk membuat story atau rheel
dilla Dwiyanti,2024-09-30 04:51:05,"Kok aku gbsa login lewat fb lagi ya, tolong dong di perbaiki lagi"
A Simbig,2024-09-30 04:48:53,✨️👍
Epox Boko,2024-09-30 04:47:40,👍
chianoxx gantenkk,2024-09-30 04:45:54,arsip nya udah mau di hapuss
Alfisal Firdaus,2024-09-30 04:44:45,"Kenapa sih arsip tiba² di bekukan tuh kenapaaa, woy kenangan kita semua disanaaa"
Sinda Risma,2024-09-30 04:44:33,"Hallo akun saya mau di banned permanen,pas ajukan banding kenapa ngak bisa masuk kan nomer ponsel ya😭tolong dong min"
Alvito Gandi,2024-09-30 04:42:38,bgus
sofiya tun,2024-09-30 04:41:27,"OMG!!! PLEASE🙏🏻 DO NOT DELETE THE ARCHIVE FEATURE, IT IS A MEMORY FOR EVERYONE!!"
Fatir Darma Alif,2024-09-30 04:39:04,saya sudah konfir masi pada wasap tetap tidak bisa satu kata untuk pembuat chontol
Adelia Citra,2024-09-30 04:37:04,Sangat bagus
Akuu Unyuuu,2024-09-30 04:35:54,Kalo sampe hapus fitur arsip saya kasih bintang 1
Dejavu Agency,2024-09-30 04:33:59,Keren 👍🏾
Akbar Adhia31,2024-09-30 04:33:41,good cop
Agus Nurwahid,2024-09-30 04:32:31,Video reels patah patah
decky vandals surbakti,2024-09-30 04:30:34,🙂
MeoW,2024-09-30 04:29:20,Apalah ini.....mau riset kata sandi aja harus nunggu Berjam jam
Seno Pak guru,2024-09-30 04:26:33,Bgus
Muhammad Fahmi shidiq,2024-09-30 04:22:22,mantulll
Dara Marsely putri,2024-09-30 04:21:23,Aku suka sekali banget😚😚😚😚😚
Pa Ino,2024-09-30 04:20:32,Aplikasi ya bagus saya suka
Arvand Crazy,2024-09-30 04:18:30,Karena ada filter nya bagus
Muhammad Ali Maksum,2024-09-30 04:18:16,Desain simpel pas gitu 🫡
Kadek Sri,2024-09-30 04:13:19,menyenangkan
Aniq Lutfia,2024-09-30 04:12:13,"udah di uprgade akun yg satu gak ada fitur barunya, yg lain ada fitur terbaru nya. gimana sih"
Ifii Syaifina,2024-09-30 04:12:04,"Woi please archive jangan di apus, itu banyak kenang kenangan buseettttttt, alasan apus apaan dah"
Abdul Malik,2024-09-30 04:08:43,sangat keren
aura aswinanda,2024-09-30 04:05:38,baguss
Ismail marjuki Marjuki,2024-09-30 04:00:36,Yeah
Padil Desi,2024-09-30 03:57:36,Instagram ini seru banget dan bikin gak bosen sangat berguna
Muhammad Arifandi Priyandana,2024-09-30 03:57:29,saran saya untuk tim developer untuk lebih teliti lagi dalam hal kinerja nya. baru saja kemarin saya tiba-tiba di suspend dengan alasan tidak mengikuti peraturan komunitas sedangkan saya tidak melakukan apa-apa. bahkan sampai sekarang saya masih belum bisa memakai akun instagram saya. Sekali lagi teruntuk tim developer mohon pencerahan nya. terimakasih : )
Alvin Andrianto,2024-09-30 03:56:45,Mantapp
Usman Tehuayo,2024-09-30 03:52:36,Selalu membuat saya merasa bahagia kadang kadang juga sedih wkwk😆
vian thea,2024-09-30 03:52:24,ok gasss
RAJA TEGA RAJA TEGA,2024-09-30 03:47:37,Bagus tapi ada tapinya
Muh. Dzul Fakhri walikram,2024-09-30 03:42:47,Tolong pihak Instagram di benahi lagi kalau posting video/foto tolong kalau bisa kualitasnya jangan di kompres. Foto dan video HD ketika di upload jadinya buram
Oka Adnyana,2024-09-30 03:41:18,Very nice .sangat membantu
Allvan 030,2024-09-30 03:38:59,Aplikasi yang sangat baik dan sangat membatu dalam media sosial🙏🙏💪💪
E suryatini Suryatini,2024-09-30 03:31:26,Kenapaa saya mau bikin akun baru gabisa????! Daftar pakai email gabisaaaa....tolong perbaiki SEGERAAAAAA!!!!
Putri Keyla,2024-09-30 03:30:26,"kenapa kalo mau upload cerita pake lagu selalu ada ""kesalahan""itu kenapa ya?"
Andi Andryan Tarigan,2024-09-30 03:29:23,Aplikasi seharusnya makin upgrade. Ini mala downgrade. KNTL
RISMAN GAMING,2024-09-30 03:28:27,⭐⭐⭐⭐⭐
Nhuru Nurul,2024-09-30 03:28:18,sangat luarrr biasa
Nining Rizkiyanti,2024-09-30 03:26:53,Good
Ratna Rosa,2024-09-30 03:25:11,Wow
Lisna Mardiyanti,2024-09-30 03:20:53,Please don't remove the archive feature. What's the point of highlight if the archive feature is removed? Please consider that. Instagram is used as a place to store memories too. If the archive feature is removed. Memories will not be remembered anymore. Please don't remove the archive feature
Benbali Driver,2024-09-30 03:20:53,Mudah digunakan dan nyaman
Ridwan ridwan,2024-09-30 03:20:31,"Dalam bulan ini udah 3 kali update enth dari hp nya bermasalah atau ada masalah lainnya, tolong di benerin lagi 🙏🏻🙏🏻"
DUOS Kebab,2024-09-30 03:16:53,Mantap
Terang Ukur Ginting,2024-09-30 03:15:04,Mantap. Keren.
Cedric Lawalata,2024-09-30 03:13:46,Mohon untuk memperbaiki Mengikuti Orang saat mau memfollow yah... Krn saya sendiri susah untuk Memfollow Akun pengikut yg lain🙏🙏🙏
ALPHA OS,2024-09-30 03:13:22,"Gatau napa ya susah banget buat login, udah request reset password. Keluar error maaf ada masalah. Gitu aja terus"
Rohmah Cantik,2024-09-30 03:09:45,Kenapa kadang kadang foto tidak tersimpan di galeri padahal sudah tersimpan ig
Hamzah rahmatullah Winardi,2024-09-30 03:06:20,"Ketika saya ingin membuat akun baru dan akan mengisi username selalu saja muncul ""harap tunggu beberapa menit sebelum mencoba lagi"" saya sudah menunggu ber jam-jam pun tetap sama. Tolong di perbaiki ya. 🙏"
serii ramadhanii,2024-09-30 03:04:25,"instagram makin lama makin jelek, masa fitur kesayangan semua orang di hapus alias archive!!!"
AH SHOLEH Winadi,2024-09-30 03:02:24,Semakin bagus banyak informasi yg bermanfaat
Ria aghnia Aghnia,2024-09-30 02:56:48,Aku suka banget sama filter2 nya cantik2 semua
Adli Rizki Faisal,2024-09-30 02:52:10,"kenapa akun orang ga keliatan on padahal dia online, terakhir online nya ga ada"
hendri yanto,2024-09-30 02:50:50,Masih belum dapat komisi
Lusiatin,2024-09-30 02:49:55,Halo kak. Saya ingin bertanya kenapa akun saya yang ini ga bisa digunakan untuk Memfollow orang? Tolong segera diperbaiki sudah 2 tahun lebih saya gk bisa follow atau follback
Ahmad Habibi,2024-09-30 02:49:08,𝙏𝙚𝙧𝙗𝙖𝙞𝙠
Aghueis 1617,2024-09-30 02:45:07,Bagus
Diezaa,2024-09-30 02:39:59,"Ah elah, balikin instagram yg dulu, ribet banget tau gk!! Minta bantuan gk membantu asli, pdhl mau login malah ngirim otp ke nomor lama, sedian kek kirim ke email bisa, mana sekarang nge lag mulu tau gak!!!😡😡"
Ka rin369,2024-09-30 02:37:52,Maaf sebelumnya tolong dikasih saran kenapa setiap saya mau login ke akun saya pasti gak bisa bagaimna caranya agar lebih mudah
Fitria Apriyanti,2024-09-30 02:36:40,Fitur archive di hilangkan padahal sengaja menyimpan memory
M Taqi,2024-09-30 02:33:53,"keren sih kemaren saya sempat berlangganan centang biru setahun, dan sekarang udh berhenti krna lebih milih duitnya di tabung buat nikah 😂"
Lia Skm,2024-09-30 02:33:32,👍👍👍👍👍👍👍👍🥰🥰🥰😊😊😊😊
Nani Nanda,2024-09-30 02:32:18,Lumayan keren 🤩
Zahra khairunisa salsabila142,2024-09-30 02:30:23,"napa susah banget dah mau ganti sampul highlight, dah coba berkali kali tetep aja gabisa"
Rhy Adry,2024-09-30 02:29:06,Instagram udh gabisa nyari filter lagi kah? mau cari filter yg JJ tp udh gatau dmna tempatnya😌 pdhl aku punya Ig cma buat pake itu😔💔
Darma,2024-09-30 02:21:58,Keren
Shankara Maulana,2024-09-30 02:20:14,Keren
Hadi Wijaya,2024-09-30 02:15:48,Lumayan
Ikbaludin Ikbaludin,2024-09-30 02:14:31,Sangat bagus
Radit Dadisapi,2024-09-30 02:09:50,🙂
Kian Ji,2024-09-30 02:03:04,Bagus
fanynda maulidina,2024-09-30 01:55:50,"y, ok"
Fidia Novita Rahmawati,2024-09-30 01:52:47,"kenapa saat membuat reels kita sendiri di Instagram tidak ada fitur menyimpan ke galeri, padahal dulu masih bisa sekarang udah ga ada,mohon di perbaiki."
Muhammad jibril ardan A.A,2024-09-30 01:50:01,sangat bagus
Muhammad Saimuri,2024-09-30 01:45:05,Sangat bermanfaat sekali dan sangat menarik untuk diketahui oleh orang lain 2013-2024 semangat terus kerja nya keren banget mantap jangkauan luas
kiranasaraa,2024-09-30 01:44:16,"makin kesini Ig gajelas, masa akun aku jadi ilang gara"" katanya harus ""ajukan banding"" pas udah ikutin langkah"" nya ujung""nya disuruh log out, baru bikin akun lagi tetep kaya gitu juga, bad bgt makin lama."
Indy Zaky,2024-09-30 01:43:39,"plisss arsip story ig jgn ilang dongggggg banyak kenangannyaaa, tenders aj yg diilangin g penting itu, trs komen yg bs muncul dipostingan ilangin ajaaaaaaa"
Erly Setyandari,2024-09-30 01:40:44,Instagram isbthe best
Ni Kadek Ayu Shri Angelia No:24,2024-09-30 01:37:25,"MINNN KENAPA AKUN IG SAYA DI BATASII MINN KAN CUMA NGEFOLLOW/FB DOANG, min tolong dong jangan dibatasi kira kira berapa hari lagi dibatasinya minn ga bisa ngfb orangg:("
Sultoni,2024-09-30 01:32:57,bagus
Eriucky Dhiela,2024-09-30 01:28:49,Bagus sekali
Sugis No,2024-09-30 01:19:55,Mantaf
Atmiati Eti,2024-09-30 01:19:52,Instagram apa ?apa artinya.........
Sigitletsoin 1996,2024-09-30 01:19:07,Like
Samsung a05,2024-09-30 01:18:08,Bagus
Adit Ia,2024-09-30 01:07:49,very useful
Sutra Ungu,2024-09-30 01:06:48,Oke good
iwan iwan,2024-09-30 01:03:26,Bagus sekali membantu saya untuk mencari informasi
Violin Angela,2024-09-30 01:02:39,PLSSS JANGAN HILANGIN FITURRR ARSIPPPP😣😣😣😣 FITUR YG LAIN DIHILANGIN GAPAPAAAAAAA
Ovie Sweet (DEVIE YUNITA LUSIANNA),2024-09-30 01:00:48,Instagram media sosial dengan tampilan yang sederhana tidak terlalu banyak iklan
Boim 97,2024-09-30 00:58:39,Mntepp
shafira amelia,2024-09-30 00:56:52,Bermanfaat dan sangat membantu
Herlinda Linda,2024-09-30 00:56:42,Bisa di gunakan untuk ma foto
Revi Ralvianti,2024-09-30 00:56:27,Huhuko
Afiev Saefuddin,2024-09-30 00:47:59,"Instagram mudah sekali kasih hukuman akun. Saya tidak melakukan ujaran kebencian, hinaan, rasis dan lain lain. Kenapa selalu kena hukum?"
Rianda Riantika,2024-09-30 00:46:47,"Tolong Instagram nya ini kenapa ""sedang menyiapkaan bahasa indonesia"" gk bisa bisa,tolong dong"
R A M A,2024-09-30 00:39:51,@alrafaelrama
ninola,2024-09-30 00:38:33,"akun instagram saya sudah 3 hari tidak bisa login. Saat ingin login diberi info ada masalah tak terduga. Tolong dr pihak instagram jgn dibuat susah akun yg ingin login !!!! kalau begini caranya, semua pada tidak bisa menikmati aplikasi ini"
Eko Yanato,2024-09-30 00:37:30,Mntp lah buat tambah teman
Christofelkaloh apriliano,2024-09-30 00:33:04,Okok aja
Ulhu Fiahun,2024-09-30 00:30:59,Rempong
Deni Andriyana,2024-09-30 00:23:32,Mantap pokoknya
Meis Anace,2024-09-30 00:23:27,bagus
Jalil,2024-09-30 00:10:46,Terbaik
Yudi Siswanto,2024-09-30 00:09:36,Good
Dell,2024-09-30 00:06:58,Sorry gw rate bintang 1 krn fitur arsip mau di hapus -_- bakal gue ubah jd bintang 5 klo fitur arsip gk kd di hapus
Ona aprilia Werluka,2024-09-30 00:06:52,Kurang bagus karena saya tidak bisa menggunakan filter disaat memgabdet ulang aplikasi Instagram
Emil19 UstadzahYellow,2024-09-30 00:01:04,"Instagram saya tidak bisa memakai template, padahal sudah lihat caranya di yt atau tt tapi ttep tidak bisa, sudah dengan cara bantuan di fitur ig ny jga tapi tidak bisa terus di update jg udah tapi ga bisa jadi maaf ya saya kecewa setelah bertaun2 memakai ig tapi tidak bisa menggunakan template saya kecewa🥺"
Kin Lovers,2024-09-29 23:56:42,Instagram aplikasi terbaik untuk berbagi pengalaman dan kita juga bisa melihat foto/video dengan kualitas yang sangat bagus.
Irman Tiyo,2024-09-29 23:42:52,Jos
Rita Sarita,2024-09-29 23:42:32,Ook
Fitria Fitria,2024-09-29 23:40:41,Lumayan ya saat dimainin tapi agak ngelek sedikit
Rafini Tani,2024-09-29 23:36:52,Bnya pelajaran dan pengalaman yang gua dapet
citra Ningsih,2024-09-29 23:29:48,jangan hapus archive dan story tolong. kalian setuju archive dan story Instagram dihapus
Muhammad fateh Radjasa,2024-09-29 23:25:23,Muhammad Fateh Sarah Khaakaa Bus Sri Sofia Poniman Papa Dedi Irawan lbu Hendika Sari Dyah Pak Ubay
Aris Karisma,2024-09-29 23:25:02,Good
Projo Dewanto,2024-09-29 23:23:42,Oke
ahmad babri kaban,2024-09-29 23:16:50,Cool apps
Kna571_,2024-09-29 23:12:48,Kalau bisa tambahkan fitur yang bisa melihat orang yang unfollow kita
Rena Ta,2024-09-29 22:59:49,"sebelum bagus baik malah tapi kok tiba - tiba akun aku ditangguhkan padhal ga ngelanggar panduan komunitas Instagram mana pas dibenerin ga bisa ""terlalu banyak kode sms anda harus menunggu 24 jam untuk kode lain lagi"" Padhal udah nunggu 24 jam lo"
Ermawati Hapas (Emma),2024-09-29 22:58:37,Mantullll
